SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60457317,,,"Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Radio Christian Voice,Hot,Joy,Komboni Radio,Q FM,Radio 1,Radio 4","Komboni Radio,Radio 1,Radio 3","Komboni Radio,Radio 1,Radio 3","Komboni Radio,Radio 1,Radio 3","Komboni Radio,Q FM,Radio 1,Radio 4"
60470308,,,"Radio Christian Voice,Evelyn, Hone,Hot,Millennium,Power,Q FM,UNZA Radio, 5FM,BBC,Comet 10,Joy,Komboni Radio,Parliament,Phoenix,Radio Christian Voice,","Radio Christian Voice,Evelyn, Hone,Hot,Millennium,Power,Q FM,UNZA Radio, 5FM,BBC,Comet 10,Joy,Komboni Radio,Parliament,Phoenix,Radio Christian Voice,","5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio Christian Voice,UNZA Radio",Hot,Hot,Hot,Hot
60478902,,,"Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Hot,Phoenix,Rock FM",Rock FM,"Phoenix,Rock FM","Hot,Phoenix,Rock FM","Hot,Phoenix,Rock FM"
60478903,,,"Komboni Radio,Phoenix,Rock FM, Hot,Joy,Q FM,Radio 1,Radio 2,Radio Christian Voice,","Komboni Radio,Phoenix,Rock FM, Hot,Joy,Q FM,Radio 1,Radio 2,Radio Christian Voice,","Komboni Radio,Phoenix,Rock FM",Komboni Radio,Komboni Radio,"Komboni Radio,Rock FM","Komboni Radio,Phoenix,Rock FM"
60492139,,,"Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Komboni Radio,Radio 1","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 3","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM"
60492140,,,"Hot,Komboni Radio,Q FM,Radio 1,Radio 4, BBC,Radio Christian Voice,Evelyn, Hone,Joy,Metro FM,Millennium,Parliament,Phoenix,Radio 2,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","Hot,Komboni Radio,Q FM,Radio 1,Radio 4, BBC,Radio Christian Voice,Evelyn, Hone,Joy,Metro FM,Millennium,Parliament,Phoenix,Radio 2,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","Evelyn, Hone,Hot,Komboni Radio,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani, Yangeni FM","Evelyn, Hone,Hot,Komboni Radio,Yatsani,Yangeni FM","Hot,Komboni Radio,Millennium,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM"
60492141,,,"BBC,Radio Christian Voice,Hot,Komboni Radio,Millennium,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM, 5FM,Joy,Phoenix,Power,Q FM,Rock FM,UNZA Radio,Radio 1,Radio 4,","BBC,Radio Christian Voice,Hot,Komboni Radio,Millennium,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM, 5FM,Joy,Phoenix,Power,Q FM,Rock FM,UNZA Radio,Radio 1,Radio 4,","BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Phoenix,Radio 1,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,","BBC,Phoenix","BBC,Hot,Komboni Radio,Phoenix","BBC,Hot,Komboni Radio,Phoenix,Radio 1,Radio 3","BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Phoenix,Radio 1,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM"
60492142,,,"Radio Christian Voice,Hot,Komboni Radio,Phoenix,Q FM,Radio 4, BBC,Millennium,Parliament,Power,Radio 4,Radio Christian Voice,Rock FM,United Voice,","Radio Christian Voice,Hot,Komboni Radio,Phoenix,Q FM,Radio 4, BBC,Millennium,Parliament,Power,Radio 4,Radio Christian Voice,Rock FM,United Voice,","BBC,Radio Christian Voice,Hot,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,United Voice,Radio 4,","Radio Christian Voice,Komboni Radio,Phoenix","Radio Christian Voice,Hot,Komboni Radio,Phoenix","Radio Christian Voice,Hot,Komboni Radio,Phoenix","BBC,Radio Christian Voice,Hot,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,United Voice"
60492143,,,"Hot,Komboni Radio,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice, BBC,Radio Christian Voice,Evelyn, Hone,Parliament,Phoenix,Q FM,UNZA Radio,Yatsani, Yangeni FM,","Hot,Komboni Radio,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice, BBC,Radio Christian Voice,Evelyn, Hone,Parliament,Phoenix,Q FM,UNZA Radio,Yatsani, Yangeni FM,","BBC,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM","BBC,Hot,Komboni Radio,Q FM","BBC,Hot,Komboni Radio,Q FM,Radio 2,Radio 3","BBC,Hot,Komboni Radio,Millennium,Q FM,Radio 2,Radio 3","BBC,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM"
60498424,,,"Isoka,Nakonde,Radio 1,Radio 2,","Isoka,Nakonde,Radio 1,Radio 2,","Radio 1,Radio 2,",,nan,"Radio 1,Radio 2,","Radio 1,Radio 2,"
