SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60457317,"Komboni,Radio 1,Radio 4,", ,"Radio Christian Voice,EvelynHone,Hot FM,Joy,Q FM,UNZA Radio,","Radio Christian Voice,Hot FM,Joy,Komboni,Q FM,Radio 1,Radio 4","Komboni,Radio 1,Radio 3","Komboni,Radio 1,Radio 3","Komboni,Radio 1,Radio 3","Komboni,Q FM,Radio 1,Radio 4"
60470308,"Radio Christian Voice,EvelynHone,Hot FM,Millennium,Power,Q FM,UNZA Radio,", ,"5FM,BBC,Comet 10,Joy,Komboni,Parliament,Phoenix,Radio Christian Voice,","5FM,BBC,Radio Christian Voice,Comet 10,EvelynHone,Hot FM,Joy,Komboni,Millennium,Parliament,Phoenix,Power,Q FM,Radio Christian Voice,UNZA Radio",Hot FM,Hot FM,Hot FM,Hot FM
60478902,"EvelynHone,Hot FM,Komboni,Millennium,Radio 1,Rock FM,", ,"5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Hot FM,Phoenix,Rock FM",Rock FM,"Phoenix,Rock FM","Hot FM,Phoenix,Rock FM","Hot FM,Phoenix,Rock FM"
60478903,"Komboni,Phoenix,Rock FM,", ,"Hot FM,Joy,Q FM,Radio 1,Radio 2,Radio Christian Voice,","Komboni,Phoenix,Rock FM",Komboni,Komboni,"Komboni,Rock FM","Komboni,Phoenix,Rock FM"
60492139,"Radio Christian Voice,Hot FM,Komboni,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"EvelynHone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot FM,Komboni,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Komboni,Radio 1","Radio Christian Voice,Hot FM,Komboni,Radio 1,Radio 2,Radio 3","Radio Christian Voice,Hot FM,Komboni,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Hot FM,Komboni,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM"
60492140,"Hot FM,Komboni,Q FM,Radio 1,Radio 4,", ,"BBC,Radio Christian Voice,EvelynHone,Joy,Metro FM,Millennium,Parliament,Phoenix,Radio 2,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","EvelynHone,Hot FM,Komboni,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM","EvelynHone,Hot FM,Komboni,Yatsani, Yangeni FM","Hot FM,Komboni,Millennium,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,EvelynHone,Hot FM,Komboni,Millennium,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM"
60492141,"BBC,Radio Christian Voice,Hot FM,Komboni,Millennium,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,", ,"5FM,Joy,Phoenix,Power,Q FM,Rock FM,UNZA Radio,Radio 1,Radio 4,","BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Phoenix,Radio 1,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,","BBC,Phoenix","BBC,Hot FM,Komboni,Phoenix","BBC,Hot FM,Komboni,Phoenix,Radio 1,Radio 3","BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Phoenix,Radio 1,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM"
60492142,"Radio Christian Voice,Hot FM,Komboni,Phoenix,Q FM,Radio 4,", ,"BBC,Millennium,Parliament,Power,Radio 4,Radio Christian Voice,Rock FM,United Voice,","BBC,Radio Christian Voice,Hot FM,Komboni,Millennium,Parliament,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,United Voice,Radio 4,","Radio Christian Voice,Komboni,Phoenix","Radio Christian Voice,Hot FM,Komboni,Phoenix","Radio Christian Voice,Hot FM,Komboni,Phoenix","BBC,Radio Christian Voice,Hot FM,Komboni,Millennium,Parliament,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,United Voice"
60492143,"Hot FM,Komboni,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"BBC,Radio Christian Voice,EvelynHone,Parliament,Phoenix,Q FM,UNZA Radio,Yatsani, Yangeni FM,","BBC,Radio Christian Voice,EvelynHone,Hot FM,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM","BBC,Hot FM,Komboni,Q FM","BBC,Hot FM,Komboni,Q FM,Radio 2,Radio 3","BBC,Hot FM,Komboni,Millennium,Q FM,Radio 2,Radio 3","BBC,Radio Christian Voice,EvelynHone,Hot FM,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM"
60498424,"Other Specify,",Ilase fm,"Isoka,Nakonde,Radio 1,Radio 2,","Radio 1,Radio 2,{0}",{0},{0},"Radio 1,Radio 2,{0}","Radio 1,Radio 2,{0}"
