SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60457317,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,B4U Movies","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,TBN"
60470308,"Al Jazeera,BBC World News,Cartoon network,CNN,E! Entertainment","SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 7,Supersport Blitz",SuperSport 3,SuperSport 3,SuperSport 3,SuperSport 3
60478902,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Fashion TV,M-Net Movies Action +,QTV Zambia","African Magic, Zambezi Magic,M-Net Movies Action +,QTV Zambia,TBN,ZNBC TV2,ZNBC TV1",M-Net Movies Action +,"African Magic, Zambezi Magic,M-Net Movies Action +,ZNBC TV2","African Magic, Zambezi Magic,M-Net Movies Action +,TBN","African Magic, Zambezi Magic,M-Net Movies Action +,QTV Zambia,TBN,ZNBC TV2,ZNBC TV1"
60478903,"African Magic, Zambezi Magic,B4U Movies,BBC World News,CCTV News,Channel O","BBC World News,CCTV News,Prime Television,ZNBC TV1","BBC World News,Prime Television","BBC World News,CCTV News,Prime Television,ZNBC TV1","BBC World News,CCTV News,Prime Television,ZNBC TV1","BBC World News,CCTV News,Prime Television,ZNBC TV1"
60492139,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,Baby TV,Bollywood,Cartoon network,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,E-Stars,Fashion TV,Jim Jam,M-Net,M-Net Movies Action,M-Net Movies Zone,MTV Base,Novela E1,Parliament TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Telemundo,TLC Entertainment,Zee World,Zing","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,Jim Jam,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Jim Jam,M-Net,MTV Base,Telemundo,Zee World"
60492140,"African Magic, Zambezi Magic,Al Jazeera,Baby TV,BBC World News,Boomerang,Discovery Channel,Discovery Family,Jim Jam,M-Net Movies Action,M-Net Movies Premier,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,TCM,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Diamond","M-Net Movies Action,Star KungFu 1,SuperSport 3,SuperSport 7,SuperSport 9,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1","SuperSport 3,ZNBC TV2","SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","M-Net Movies Action,Star KungFu 1,SuperSport 3,SuperSport 7,SuperSport 9,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1"
60492141,"ABN TB,Al Jazeera,AMC Series,Animal Planet,B4U Movies,BBC Brit,BET,Bloomberg,Bollywood,Boomerang,Cartoon network,CBC TV,Cbeebies,CCTV 9 Documentary,Channel O,CNBC,CNN,Comedy Central,Crime + Investigation,Da Vinci Learning,Discovery Channel,Discovery IDX,Disney Channel,Disney XD,Emmanuel TV,ESPN,Fashion TV,Food Network,Fox,Fox Entertainment,Fox Sports,France 24,FX,History,Hope Channel,ID Investigation Discovery,kyk NET,Learn Tv,Lifetime,Mindset,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Showcase,Mobi Tv,MTV,Mzansi,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,One Gospel,Parliament TV,Prime Television,SABC,Sky News,Sony Max,SuperSport,SuperSport 9,SuperSport Select,TCM,Diamond","Cartoon network,M-Net,Mobi Tv,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond",SuperSport 3,"M-Net,SuperSport 3,ZNBC TV2,ZNBC TV1","M-Net,MTV Base,Nat Geo Wild,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","Cartoon network,M-Net,Mobi Tv,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
60492142,"Bloomberg,Bollywood,Boomerang,Fashion TV,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,Nat Geo Gold,Nat Geo Wild,Parliament TV,Q TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport Select,TBN,TCM,Telly Track,TLC Entertainment,Trace Gospel","Bloomberg,Fox Movies,Fox Movies +2,Fox Sports,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 3,SuperSport 4,SuperSport 7,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond","SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","M-Net Movies Action,M-Net Movies Action +,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,SABC,Star KungFu 1,SuperSport 3,SuperSport 9,Supersport Blitz,ZNBC TV2,ZNBC TV1,Diamond","Fox Movies +2,M-Net,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,SABC,ZNBC TV2,ZNBC TV1,Diamond","Bloomberg,Fox Movies,Fox Movies +2,Fox Sports,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,QTV Zambia,SABC,Star Bollywood,Star KungFu 1,Star Movies 1,SuperSport 3,SuperSport 4,SuperSport 7,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond"
60492143,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Baby TV,Boomerang,Channel O,CNN,E! Entertainment,Fashion TV,Fox,Fuel TV- Sports channel,M-Net,M-Net City,MTV Base,Music,Sony Max,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,SuperSport maximo,TBN,Zee World","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 3,SuperSport 9,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Star KungFu 1,SuperSport,SuperSport 3,Supersport Blitz,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport 3,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Star KungFu 1,Star Movies 1,SuperSport,SuperSport 3,SuperSport 9,Supersport Blitz,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60498424,,,,,,
