SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60457317,AB Bank Zambia Limited, ,AB Bank Zambia Limited,AB Bank Zambia Limited,Very satisfied,,,,,,,,,,,,,,,,,,,,,
60470308,"Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,Satisfied,,,,,,,,,,,,,,Satisfied,,,
60478902,AB Bank Zambia Limited, ,AB Bank Zambia Limited,AB Bank Zambia Limited,Satisfied,,,,,,,,,,,,,,,,,,,,,
60478903,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60492139,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60492140,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60492141,"BancABC Zambia Limited,Barclays Bank Zambia Plc,Finance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Investrust Bank Plc,Standard Chartered Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,Standard Chartered Bank Zambia Plc,Standard Chartered Bank Zambia Plc,,,Satisfied,,Satisfied,,,,Satisfied,,Satisfied,,,,Satisfied,,Satisfied,,Dissatisfied,,,
60492142,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Neither satisfied or dissatisfied,,,
60492143,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60498424,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60498425,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60505067,Standard Chartered Bank Zambia Plc, ,Standard Chartered Bank Zambia Plc,Standard Chartered Bank Zambia Plc,,,,,,,,,,,,,,,,,Very satisfied,,,,,
60505068,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60505620,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60506416,"Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,Satisfied,,,,,,,,,,,,,,Satisfied,,,
60506417,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60506418,"Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,Satisfied,,,,,,,,,,,,,,Very satisfied,,,
60508564,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60508779,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60510231,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60513115,"AB Bank Zambia Limited,First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),Satisfied,,,,,,,,,,Dissatisfied,,,,,,,,Satisfied,,,
60514495,"Barclays Bank Zambia Plc,Finance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Investrust Bank Plc,Stanbic Bank Zambia Limited", ,Finance Bank Zambia Limited,Finance Bank Zambia Limited,,,,,Satisfied,,,,Satisfied,,Satisfied,,,,Neither satisfied or dissatisfied,Satisfied,,,,,,
60514496,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60514497,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60514498,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60514499,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60514730,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60514731,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60514732,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60514733,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60514734,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60514735,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60515239,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60515240,"Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)", ,Stanbic Bank Zambia Limited,Stanbic Bank Zambia Limited,,,,,,,,,,,,,,,,Satisfied,,,Satisfied,,,
60515241,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)","First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,Very satisfied,,,,,,,,Neither satisfied or dissatisfied,,,
60515242,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515243,Stanbic Bank Zambia Limited, ,Stanbic Bank Zambia Limited,Stanbic Bank Zambia Limited,,,,,,,,,,,,,,,,Satisfied,,,,,,
60515244,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515245,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60515246,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60515247,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60515248,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
