SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air
60457317,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 12 Months,Yesterday
60470308,Past 12 Months,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Past 12 Months,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Past 4 Weeks
60478902,Past 7 Days,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Never,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 4 Weeks,Yesterday,Never,Never,Never,Never,Never,Never,Never
60478903,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 4 Weeks,Past 7 Days,Never,Never,Never,Never,Never,Never,Past 12 Months
60492139,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Yesterday,Yesterday,Never,Past 4 Weeks,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months
60492140,Yesterday,Yesterday,Past 4 Weeks,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 7 Days,Past 12 Months,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months
60492141,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Past 4 Weeks
60492142,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Never,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 4 Weeks
60492143,Past 4 Weeks,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Never
60498424,Past 4 Weeks,Past 12 Months,Never,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
