SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60457317,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel", ,Yes,No,No,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60470308,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Paid a bill", ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Extremely satisfied,,,,,,,,
60478902,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60478903,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60492139,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Sent money by SMS to another mobile number,Sent money to a bank account,Withdrawn money,Recharged your airtime", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,,,,,,
60492140,Yes,"MTN (MTN Mobile Money),Zoona,Zanaco (Zapit)", ,,Yes,,Yes,Yes,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Sent money to a bank account,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Satisfied,,Satisfied,Satisfied,,,,,
60492141,Yes,"Airtel (Airtel Money),Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite", ,Yes,,,Yes,Yes,No,Yes,,,,"Recharged your airtime,Sent money by SMS to another mobile number", ,, ,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,Withdrawn money, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Neither satisfied nor dissatisfied,,,Satisfied,Dissatisfied,Satisfied,Satisfied,,,
60492142,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,Yes,Yes,,Yes,,,,,,,Withdrawn money, ,Recharged your airtime, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,,,,
60492143,Yes,"Airtel (Airtel Money),Zoona,Zanaco (Zapit)", ,Yes,,,Yes,Yes,,,,,,"Withdrawn money,Recharged your airtime", ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Satisfied,Satisfied,,,,,
60498424,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
