SbjNum,Internet Service providers P4W,Main Internet Service providers/download P4W,Bought Digital Content using your Mobile Device,Service Providers - Bought Digital Content using your Mobile Device,Service Providers - Will Consider to Buy Digital Content using Mobile Device,Overall Best Service provider of Digital Content for your mobile device,Airtel,MTN,Vodafone,Zamtel,{0}
60457317,,,No,,"Apple: iOS App Store / iTunes Store,Amazon: Amazon AppStore,",Apple: iOS App Store / iTunes Store,,,,,
60470308,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,Best value,,,
60478902,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60478903,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60492139,,,,,,,,,,,
60492140,,,,,,,,,,,
60492141,"Airtel,MTN,",Airtel,Yes,Amazon: Amazon AppStore,eBay,eBay,Widest range of content,Ease of use,,,
60492142,,,,,,,,,,,
60492143,"Airtel,MTN,",Airtel,Yes,"Google: Google Play Store,MTN: MTN Play,","Airtel Live,eBay,",eBay,Widest range of content,Easy to download,,,
60498424,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60498425,"Airtel,MTN,Zamtel",MTN,No,,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Ease of use,Ease of use,,Otherplease specify,
60505067,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,eBay,eBay,Ease of use,Easy to download,,,
60505068,,,,,,,,,,,
60505620,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60506416,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Otherplease specify,,,,
60506417,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60506418,MTN,MTN,No,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,,Widest range of content,,,
60508564,Airtel,Airtel,Yes,Airtel Live,eBay,eBay,Ease of payment,,,,
60508779,,,,,,,,,,,
60510231,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60513115,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of use,,,,
60514495,"Airtel,MTN,",MTN,No,,Don’t know / unsure,,Ease of use,Best value,,,
60514496,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60514497,"MTN,Zamtel,",MTN,No,,"Amazon: Amazon AppStore,eBay,",eBay,,Best value,,Best value,
60514498,MTN,MTN,No,,"Amazon: Amazon AppStore,eBay,",eBay,,Best value,,,
60514499,MTN,MTN,No,,"Amazon: Amazon AppStore,eBay,",eBay,,Best value,,,
60514730,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60514731,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60514732,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60514733,,,,,,,,,,,
60514734,,,,,,,,,,,
60514735,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best value,,,,
60515239,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60515240,"Airtel,MTN,",Airtel,No,,{0},{0},Best content,Best value,,,
60515241,"Airtel,MTN,",Airtel,Yes,eBay,Google: Google Play Store,Google: Google Play Store,Best content,Best value,,,
60515242,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60515243,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Easy to download,,,
60515244,MTN,MTN,No,,"Google: Google Play Store,eBay,",eBay,,Best content,,,
60515245,MTN,MTN,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60515246,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Ease of payment,,,
60515247,Airtel,Airtel,No,,"Google: Google Play Store,eBay,",eBay,Best content,,,,
60515248,Zamtel,Zamtel,No,,"Google: Google Play Store,eBay,",eBay,,,,Best value,
60515348,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,eBay,",eBay,Widest range of content,Widest range of content,,,
60515349,,,,,,,,,,,
60515652,MTN,MTN,Unsure / Don’t know,,Don’t know / unsure,,,Best value,,,
60515653,,,,,,,,,,,
60515654,"Airtel,MTN,",MTN,Unsure / Don’t know,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,Best value,Best for my device,,,
60515655,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Otherplease specify,Ease of use,,,
60515656,,,,,,,,,,,
60515728,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60516534,Zamtel,Zamtel,No,,Don’t know / unsure,,,,,Otherplease specify,
60516535,,,,,,,,,,,
60516536,,,,,,,,,,,
60516537,,,,,,,,,,,
60516538,,,,,,,,,,,
60516539,MTN,MTN,No,,Don’t know / unsure,,,Otherplease specify,,,
60519020,Airtel,Airtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Easy to download,,,,
60519021,MTN,MTN,Yes,"Google: Google Play Store,MTN: MTN Play,",Amazon: Amazon AppStore,Amazon: Amazon AppStore,,Best content,,,
60519022,"MTN,Zamtel,",MTN,Yes,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,Amazon: Amazon AppStore,MTN: MTN Play,",eBay,eBay,,Best value,,Best value,
60519023,,,,,,,,,,,
60519024,MTN,MTN,Yes,"Google: Google Play Store,Amazon: Amazon AppStore,MTN: MTN Play",Microsoft: Windows App Store,Microsoft: Windows App Store,,Easy to download,,,
60524230,"Airtel,Zamtel,",Airtel,Yes,Microsoft: Windows App Store,Google: Google Play Store,Google: Google Play Store,Easy to download,,,Easy to download,
60524231,"Airtel,MTN,",Airtel,No,,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,",Google: Google Play Store,Best content,Ease of payment,,,
60524419,MTN,MTN,No,,"Amazon: Amazon AppStore,eBay,",Amazon: Amazon AppStore,,Easy to download,,,
60524420,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60524421,Airtel,Airtel,No,,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Ease of payment,,,,
60524422,Airtel,Airtel,No,,Don’t know / unsure,,Easy to download,,,,
60524423,Otherplease specify,{0},No,,Don’t know / unsure,,,,,,Easy to download
60525354,"Airtel,Zamtel,",Airtel,No,,Don’t know / unsure,,Otherplease specify,,,Otherplease specify,
60525355,,,,,,,,,,,
60525356,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60525357,,,No,,Don’t know / unsure,,,,,,
60526753,"Airtel,Zamtel,",Airtel,Yes,Airtel Live,"Google: Google Play Store,Microsoft: Windows App Store,eBay",Google: Google Play Store,Ease of payment,,,Best value,
60528190,,,,,,,,,,,
60528191,MTN,MTN,No,,Don’t know / unsure,,,Best for my device,,,
60528192,Airtel,Airtel,Yes,Airtel Live,"Google: Google Play Store,Apple: iOS App Store / iTunes Store,Blackberry: Blackberry World,Amazon: Amazon AppStore,Microsoft: Windows App Store,MTN: MTN Play,Zamtel Games Club,eBay,",Google: Google Play Store,Widest range of content,,,,
60528193,,,,,,,,,,,
60528194,,,,,,,,,,,
60528203,MTN,MTN,Yes,Google: Google Play Store,"MTN: MTN Play,Zamtel Games Club,",Zamtel Games Club,,Best value,,,
60528461,MTN,MTN,Yes,MTN: MTN Play,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60529347,Airtel,Airtel,Yes,Other,Google: Google Play Store,Google: Google Play Store,Ease of payment,,,,
60529376,,,,,,,,,,,
60529579,"Zamtel,Otherplease specify,",Zamtel,Yes,Apple: iOS App Store / iTunes Store,Google: Google Play Store,Google: Google Play Store,,,,Otherplease specify,Otherplease specify
60529580,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best for my device,,,,
60530085,,,,,,,,,,,
60530086,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of use,,,,
60530176,,,No,,Don’t know / unsure,,,,,,
60531169,Zamtel,Zamtel,Yes,Google: Google Play Store,Zamtel Games Club,Zamtel Games Club,,,,Ease of payment,
60531744,MTN,MTN,Yes,"Google: Google Play Store,Blackberry: Blackberry World,MTN: MTN Play",Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Easy to download,,,
60531824,"MTN,Zamtel,",Zamtel,Yes,Don’t know / unsure,Google: Google Play Store,Google: Google Play Store,,Easy to download,,Ease of use,
60531878,MTN,MTN,Unsure / Don’t know,,"Blackberry: Blackberry World,Amazon: Amazon AppStore,",Amazon: Amazon AppStore,,Best value,,,
60532056,Zamtel,Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,Ease of use,
60532792,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60533355,MTN,MTN,Yes,Don’t know / unsure,{0},{0},,Best value,,,
60534190,,,,,,,,,,,
60534385,Airtel,Airtel,No,,"Google: Google Play Store,Zamtel Games Club,",Google: Google Play Store,Otherplease specify,,,,
60534386,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of payment,,,,
60534387,,,,,,,,,,,
60534388,,,,,,,,,,,
60534661,,,,,,,,,,,
60535857,MTN,MTN,Yes,Don’t know / unsure,eBay,eBay,,Easy to download,,,
