SbjNum,Monthly or Quarterly Magazines Ever Read,Other Monthly or Quarterly Magazines Ever Read,Beauty Magazine,The Marketer,Farmers Magazine,Zambian Woman,Strikers Magazine,Sport Light Magazine,Bulletin and Record,Corporate Face,The Zambian Marketer,Nkhani Kulture,Media 4 Africa,LIF (Let it Flow),Nkwazi in Flight,Solwezi Today,ZBC,The Entrepreneur,Commercial Gazette,Partners Guide,Low Down,The Agent,{0},None,Don't Know,Beauty Magazine,The Marketer,Farmers Magazine,Zambian Woman,Strikers Magazine,Sport Light Magazine,Bulletin and Record,Corporate Face,The Zambian Marketer,Nkhani Kulture,Media 4 Africa,LIF (Let it Flow),Nkwazi in Flight,Solwezi Today,ZBC,The Entrepreneur,Commercial Gazette,Partners Guide,Low Down,The Agent,{0},None,Don't Know
60457317,The Marketer, ,,Yesterday,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
60470308,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60478902,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60478903,Others,"Dstv guide, hollywood red carpet",,,,,,,,,,,,,,,,,,,,,4-7 days ago,,,,,,,,,,,,,,,,,,,,,,,2,,
60492139,"Strikers Magazine,Sport Light Magazine", ,,,,,Last month,Don't Know/ Can’t Remember,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
60492140,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60492141,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60492142,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60492143,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60498424,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60498425,Partners Guide, ,,,,,,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
60505067,Farmers Magazine, ,,,Don't Know/ Can’t Remember,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
60505068,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505620,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506416,Beauty Magazine, ,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
60506417,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506418,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60508564,Beauty Magazine, ,Yesterday,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
60508779,Others,witness magazine,,,,,,,,,,,,,,,,,,,,,4-7 days ago,,,,,,,,,,,,,,,,,,,,,,,10+,,
60510231,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60513115,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514495,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514496,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514497,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514498,"Beauty Magazine,Zambian Woman,Others",Religious magazine,Last month,,,Longer Ago,,,,,,,,,,,,,,,,,4-7 days ago,,,10+,,,2,,,,,,,,,,,,,,,,,1,,
60514499,Beauty Magazine, ,Last month,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
60514730,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514731,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514732,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514733,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514734,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514735,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515239,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515240,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515241,Zambian Woman, ,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
60515242,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515243,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515244,Beauty Magazine, ,Last month,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
60515245,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515246,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515247,Beauty Magazine, ,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
60515248,"Zambian Woman,Commercial Gazette", ,,,,Last month,,,,,,,,,,,,,4-7 days ago,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,
60515348,"Farmers Magazine,Zambian Woman", ,,,Longer Ago,Longer Ago,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,
60515349,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60515652,Others,kwatu,,,,,,,,,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,None,,
60515653,Others,Jehovah's witness magazine,,,,,,,,,,,,,,,,,,,,,Last month,,,,,,,,,,,,,,,,,,,,,,,5,,
60515654,Others,builders magazine,,,,,,,,,,,,,,,,,,,,,Last month,,,,,,,,,,,,,,,,,,,,,,,1,,
60515655,Others,Jehovah's witness magazine,,,,,,,,,,,,,,,,,,,,,2-3 days ago,,,,,,,,,,,,,,,,,,,,,,,3,,
60515656,Others,witness magazine,,,,,,,,,,,,,,,,,,,,,Yesterday,,,,,,,,,,,,,,,,,,,,,,,2,,
60515728,Others,witness magazine,,,,,,,,,,,,,,,,,,,,,Yesterday,,,,,,,,,,,,,,,,,,,,,,,10+,,
