SbjNum,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Billboards make the environment look colourful,I trust a brand/product that is advertised on a billboard,I’m more likely to buy a brand/product that is advertised on a billboard,I find brand/product information on a billboard useful,Billboards too close to each other make the environment look cluttered or messy,I remember the billboard adverts when I see the product/brand on the shelf in a store
60457317,Yesterday,Past 7 Days,Past 4 Weeks,Not seen,Not seen,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,soche,soche,farm product,,,soche,soche,soche,soche,soche,soche,soche,soche,soche,keep Zambia clean,soche,not sure,,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree
60470308,Yesterday,Not seen,Past 4 Weeks,Past 7 Days,Not seen,Not seen,Not seen,Past 7 Days,Past 7 Days,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Boom,,stadium construction,Mtn,,,,Boom,Boom,Church programs,,,,,,,,can't remember,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree
60478902,Yesterday,Past 7 Days,Yesterday,Yesterday,Not seen,Not seen,Past 7 Days,Past 4 Weeks,Yesterday,Past 7 Days,Longer Ago,Past 3 months,Past 4 Weeks,Past 3 months,Not seen,Past 3 months,Not seen,Past 3 months,lotto draw,"stop, street signs",advert of boom,boom advertising,,,RTSA,boom,GOTV,shops,shops,mtn spaka,nil,nil,,nil,,welcome,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
60478903,Yesterday,Yesterday,Past 4 Weeks,Longer Ago,Not seen,Past 3 months,Past 7 Days,Not seen,Past 7 Days,Past 4 Weeks,Longer Ago,Past 4 Weeks,Longer Ago,Past 3 months,Longer Ago,Longer Ago,Past 4 Weeks,Longer Ago,adverts,welcome signs,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
60492139,Yesterday,Longer Ago,Yesterday,Past 7 Days,Past 3 months,Longer Ago,Past 3 months,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 3 months,Past 4 Weeks,Past 4 Weeks,Longer Ago,Past 7 Days,Past 3 months,Past 4 Weeks,Vodafone,none,Dagote,Boom,none,none,Raster,Boom/Top star,star times,none,none,none,MTN,none,none,none,none,none,Agree,Agree,Agree,Agree,Agree,Agree
60492140,Past 7 Days,Longer Ago,Past 7 Days,Past 7 Days,Longer Ago,Longer Ago,Past 3 months,Past 7 Days,Past 7 Days,Past 3 months,Past 3 months,Past 3 months,Past 7 Days,Past 3 months,Longer Ago,Longer Ago,Longer Ago,Past 7 Days,New shoprite in woodlands stadium,none,none,Go Tv,none,none,none,Star times,Apple max,none,none,none,Airtel,none,none,none,none,none,Agree,Agree,Agree,Agree,Agree,Agree
60492141,Past 3 months,Past 4 Weeks,Past 7 Days,Past 7 Days,Longer Ago,Past 3 months,Past 3 months,Past 4 Weeks,Past 7 Days,Past 7 Days,Longer Ago,Longer Ago,Past 4 Weeks,Longer Ago,Not seen,Longer Ago,Longer Ago,Past 3 months,Rtsa,Tradekings,Elevo,Boom,Redrock,Dstv,Super shake,boom,D'lite,Mobile Monsters,Dstv,Lafarge,D'lite,Dstv,,Tradekings,Castle,Hi Fi Corp,Agree,Agree,Agree,Agree,Agree,Disagree
60492142,Longer Ago,Past 3 months,Past 4 Weeks,Past 4 Weeks,Longer Ago,Not seen,Past 4 Weeks,Past 7 Days,Past 7 Days,Longer Ago,Not seen,Longer Ago,Past 4 Weeks,Not seen,Not seen,Longer Ago,Longer Ago,Not seen,Dagote Cement,Castle Lite,Dangote,Boom,MTN,,Boom,Boom,Appt Apple,Mobile Monsters,,MTN,D'Lite,,,Game,Ixani,,Disagree,Agree,Agree,Agree,Agree,Agree
60492143,Longer Ago,Not seen,Longer Ago,Past 7 Days,Not seen,Longer Ago,Past 4 Weeks,Past 7 Days,Yesterday,Longer Ago,Not seen,Longer Ago,Past 4 Weeks,Not seen,Past 4 Weeks,Not seen,Longer Ago,Longer Ago,MTN,,Lafarge,Boom,,Airtel,Supershake,Boom,Appt Apple,Mobile Monsters,,MTN,Airtel,,none,,Domicus,MTN,Agree,Agree,Agree,Agree,Disagree,Agree
60498424,Past 7 Days,Not seen,Longer Ago,Past 4 Weeks,Past 3 months,Past 3 months,Longer Ago,Longer Ago,Past 7 Days,Past 4 Weeks,Longer Ago,Not seen,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Past 7 Days,The Vodafone network,,0,The Animals e.g lions,I have forgotten,0,0,About the cinema,0,0,0,,0,0,,,,0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree
60498425,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Not seen,Longer Ago,Longer Ago,Past 4 Weeks,Yesterday,Longer Ago,Longer Ago,Past 7 Days,Past 3 months,Not seen,Not seen,Not seen,Past 4 Weeks,Drinks a go fresh,nil,nil,Car for sale,nil,,nil,Nil,nil,For witch doctors,nil,nil,nil,nil,,,,Shoprite,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
60505067,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Past 7 Days,Yesterday,Not seen,Not seen,Not seen,Not seen,Past 7 Days,insurance company,,,Jan Japan car dealers,,,,boom,airtel,,,camco,pep,,,,,cant remember,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree
60505068,Longer Ago,Past 4 Weeks,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Not seen,Not seen,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,can't remember,food and soap,,can't remember,,,,,,can't remember,,,can't remember,,,,,,Agree,DK (DON’T READ),Disagree,Agree,Agree,Strongly Disagree
60505620,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Yesterday,mobile monister,,,,,,soche,the wire force,,soche,soche,,,,,,,airtel money,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
60506416,Past 3 months,Longer Ago,Longer Ago,Longer Ago,Past 3 months,Past 3 months,Past 3 months,Past 3 months,Past 3 months,Past 7 Days,Past 7 Days,Not seen,Past 7 Days,Not seen,Not seen,Longer Ago,Past 7 Days,Past 3 months,Kitchen party,MTN,nil,nil,I have forgotten,Zanaco,nil,Obbys houses,nil,Witch doctor,The chairs,,nil,,,nil,nil,Shoprite,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree
60506417,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,,,,,,,,,nil,,nil,,nil,,,,,nil,DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ),DK (DON’T READ)
60506418,Longer Ago,Longer Ago,Longer Ago,Past 4 Weeks,Not seen,Not seen,Not seen,Longer Ago,Past 7 Days,Past 7 Days,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,nil,Can't remember,The trucks which one can use when building,Can't remember,,,,Can't remember,Can't remember,About schools,,,Can't remember,,,,,Can't remember,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
60508564,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,,,,,,,,,,,,,,,,,,,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
