SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60457317,At home,On a mobile phone,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Christian Voice,because they are religious programs that educate people,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Religious,", ,Early morning, ,Kafue
60470308,At home,On a radio,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Hot,because of good music,"Saturday,Sunday","Sports Commentaries,News/current affairs,Religious,Music shows,", ,Early morning, ,"Christian Voice,Evelyn,Hot,Komboni,Millennium,Power,Q FM"
60478902,At homeAt work (office field etc),On a radioOn a mobile phone,6 days per week,5 days per week,Do not listen at this time,2 days per week,1 day per week,Do not listen at this time,Do not listen at this time,Rock FM,its best. because of good musicaccurate news and good programmes,"Tuesday,Saturday,Sunday","Gender issues,Health issues e.g. HIV / AIDS,Music shows,Sports Commentaries,Environmental issues,", ,Early morning, ,"Hot,Phoenix,Q FM"
60478903,At home,On a mobile phone,2 days per week,7 days per week,7 days per week,Less than that,3 days per week,Do not listen at this time,Less than that,Hot,because they play hip hop from America,"Friday,Saturday","Music shows,News/current affairs,", ,Late afternoon, ,"Christian Voice,Hot,Joy,Komboni,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rock FM"
60492139,At homeAnother household (friends relatives house)In a car-privateBus,On a mobile phone,4 days per week,Do not listen at this time,Do not listen at this time,Less than that,2 days per week,Do not listen at this time,Do not listen at this time,Radio 4,They good programs like close mate a real life changing,"Monday,Thursday","Environmental issues,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Religious,Gender issues,", ,Late evening, ,"Evelyn,Hot,Joy,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani"
60492140,At homeAnother household (friends relatives house)In a car-privateBus,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,6 days per week,6 days per week,Do not listen at this time,Komboni,Good DJ's and artists,Tuesday,"Religious,Music shows,", ,Late evening, ,"BBC,Christian Voice,Evelyn,Hot,Komboni,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Unza,Yatsani"
60492141,At homeAnother household (friends relatives house)Bus,On a radioOn a mobile phone,4 days per week,3 days per week,Do not listen at this time,Do not listen at this time,4 days per week,4 days per week,Do not listen at this time,BBC,It's informative in of international news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Social/community programs e.g. people with special needs,News/current affairs,Health issues e.g. HIV / AIDS,Environmental issues,Religious,Politics,Sports Commentaries,Agricultural issues,", ,Early morning, ,"5FM,Christian Voice,Evelyn,Hot,Komboni,Millennium,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 4,Rock FM,ZNBC 1,ZNBC 4"
60492142,At homeAnother household (friends relatives house),On a radio,5 days per week,5 days per week,4 days per week,Do not listen at this time,5 days per week,3 days per week,Do not listen at this time,Hot,music section,Friday,"Developmental issues e.g. building of roads,News/current affairs,Health issues e.g. HIV / AIDS,Politics,", ,Late evening, ,"BBC,Evelyn,Hot,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Unza,Yatsani"
60492143,At homeAnother household (friends relatives house)Bus,On a radio,5 days per week,5 days per week,5 days per week,Less than that,3 days per week,3 days per week,3 days per week,Komboni,It's has interesting DJ's and nice Zambia music,Wednesday,"News/current affairs,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Politics,Music shows,", ,Early morning, ,"BBC,Christian Voice,Hot,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60498424,At home,On a radio,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,{0},It's the language is understand most and they have many educating programmes,Wednesday,"Music shows,Children's programs,Religious,", ,Early morning, ,"Isoka,Nakonde,Radio 2"
60498425,At home,On a radioOn a mobile phone,3 days per week,3 days per week,2 days per week,7 days per week,Less than that,Do not listen at this time,Less than that,Radio Chrsitian Voice,It has got nice programs e.g the bread of life program,Saturday,"Religious,Social/community programs e.g. people with special needs,News/current affairs,Music shows,", ,Early morning, ,"Isoka,Parliament,Radio 2,Radio Chrsitian Voice"
60505067,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Christian Voice,it edifies her Christian life,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,", ,Early morning, ,Christian Voice
60505068,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Komboni,because they also play  gospel songs,Sunday,"Social/community programs e.g. people with special needs,Religious,", ,Early morning, ,"Christian Voice,Komboni,Radio 1,Radio 2,Radio 4"
60505620,At homePrivate taxi,On a radio,5 days per week,5 days per week,4 days per week,2 days per week,4 days per week,3 days per week,2 days per week,Komboni,because they play local music that promotes our musicians,"Saturday,Sunday","Music shows,", ,Late morning, ,"Christian Voice,Komboni,Radio 1,Radio 2,Radio 4"
60506416,Other (specify),Other (specify),Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,{0},I love komboni,Monday,"Music shows,", ,Other (specify),I haven't listened to radio,"Radio 1,Radio 2,Radio 4"
60506417,At home,On a mobile phone,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,Radio 1,we enjoy the program e g ifwabukaya,"Monday,Wednesday,Sunday","News/current affairs,Environmental issues,Social/community programs e.g. people with special needs,Radio drama,", ,Early evening, ,don’t know
