SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60457317,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,African magic,because they movies they have good teaching in life,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,News & current affairs,Movies,Education,Entertainment,Entertainment,Religious issues,Entertainment,Education,Entertainment,Entertainment,Entertainment,Entertainment,Education,Education,Entertainment,Education,,, 
60470308,"At home,Other (specify)",from his phone,On a TV set,2 days per week,Do not watch at this time,Less than that,Do not watch at this time,2 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 3,He loves football,"Saturday,Sunday","Other sports,Documentaries", ,, ,, ,News & current affairs,News & current affairs,Movies,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60478902,"At home,At work (office, field etc)", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,3 days per week,Do not watch at this time,,M-Net Movies Action +,because of good action movies,"Monday,Thursday,Sunday","Documentaries,American movies", ,, ,Morning Live, ,Religious issues,News & current affairs,None/Don’t know,None/Don’t know,Movies,None/Don’t know,Religious issues,Dramas,None/Don’t know,None/Don’t know,Entertainment,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60478903,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,4 days per week,Less than that,Less than that,Less than that,,Prime Television,action and horror movies,"Monday,Tuesday,Wednesday,Friday,Saturday",Mexican movies, ,News, ,, ,News & current affairs,News & current affairs,None/Don’t know,Political issues,Movies,Political issues,Religious issues,Movies,Sports,Entertainment,Sports,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60492139,"At home,Another household (friends, relatives house)", ,On a TV set,7 days per week,7 days per week,5 days per week,3 days per week,4 days per week,7 days per week,2 days per week,,Telemundo,Good series/movies relating to real life issues,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","African movies,American movies,Mexican movies,Local drama", ,, ,, ,News & current affairs,News & current affairs,News & current affairs,Entertainment,Dramas,Entertainment,Religious issues,None/Don’t know,Sports,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60492140,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,4 days per week,5 days per week,6 days per week,Do not watch at this time,Do not watch at this time,1 day per week,1 day per week,,SuperSport 3,football,"Tuesday,Wednesday,Saturday,Sunday",Other sports, ,News, ,Other (specify),just news,News & current affairs,News & current affairs,Entertainment,Entertainment,Entertainment,Education,Religious issues,Entertainment,Sports,Entertainment,Entertainment,Entertainment,Education,Education,None/Don’t know,Entertainment,Entertainment,,, 
60492141,"Another household (friends, relatives house),In a bar", ,On a TV set,Do not watch at this time,3 days per week,Do not watch at this time,3 days per week,3 days per week,3 days per week,Do not watch at this time,,SuperSport 3,international games,"Tuesday,Wednesday,Thursday,Saturday,Sunday","Soccer commentaries,Other sports,Documentaries,African movies,American movies,Mexican movies", ,News, ,Other (specify),News,News & current affairs,News & current affairs,Entertainment,Entertainment,Education,Education,Religious issues,Entertainment,Entertainment,Entertainment,Entertainment,Education,Religious issues,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60492142,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,5 days per week,5 days per week,3 days per week,4 days per week,4 days per week,4 days per week,Do not watch at this time,,SuperSport 3,International Sports,"Thursday,Saturday,Sunday","Soccer commentaries,American movies", ,News, ,Morning Live, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60492143,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,4 days per week,3 days per week,Less than that,Less than that,3 days per week,3 days per week,Less than that,,Star KungFu 1,marshal artists movies,Sunday,"Soccer commentaries,African movies,Mexican movies,Local drama", ,News, ,"Morning Live,Criminal Minds,Enter in - Live", ,News & current affairs,News & current affairs,Entertainment,Entertainment,Entertainment,None/Don’t know,Religious issues,Entertainment,Sports,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Entertainment,,, 
60498424,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
