Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Radio 1,134851889,Central,Mkushi,Rural,Male,1,,AB,Tertiary,Other,Employed for cash,AB,"K 43,168   and above",,45+,"KNC,Radio 4,Radio 1,Radio 2"
Radio 4,134851889,Central,Mkushi,Rural,Male,1,,AB,Tertiary,Other,Employed for cash,AB,"K 43,168   and above",,45+,"KNC,Radio 4,Radio 1,Radio 2"
KNC,134851889,Central,Mkushi,Rural,Male,1,,AB,Tertiary,Other,Employed for cash,AB,"K 43,168   and above",,45+,"KNC,Radio 4,Radio 1,Radio 2"
Radio 2,134851889,Central,Mkushi,Rural,Male,1,,AB,Tertiary,Other,Employed for cash,AB,"K 43,168   and above",,45+,"KNC,Radio 4,Radio 1,Radio 2"
Hot,60470308,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,25 – 34,Hot
Radio Christian Voice,60505067,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Radio Christian Voice
Radio 4,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"Radio 4,Radio Christian Voice"
Radio Christian Voice,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"Radio 4,Radio Christian Voice"
Radio Christian Voice,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
FCC Solwezi,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
Parliament,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
Radio 2,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
Radio Christian Voice,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi"
FCC Solwezi,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi"
Radio 2,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi"
FCC Solwezi,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"New Generation,FCC Solwezi"
New Generation,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"New Generation,FCC Solwezi"
KNC,60514735,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Roman Catholic,Housewife,C1,"K 2,500   -  K 3,154",Yes,25 – 34,KNC
Money FM,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,Radio 2"
Mkushi,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,Radio 2"
Radio 2,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,Radio 2"
Money FM,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"Mkushi,Money FM"
Mkushi,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"Mkushi,Money FM"
Money FM,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"Mkushi,Money FM"
Mkushi,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"Mkushi,Money FM"
Radio 1,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Money FM,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Mkushi,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Radio 2,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
KNC,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Radio Christian Voice,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Radio Christian Voice
Radio Christian Voice,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Parliament,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Roots,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Phoenix,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Evelyn,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Hot,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
BBC,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Unza,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Komboni,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Hot,Radio Christian Voice,Roots,Komboni,Evelyn,Unza,BBC,Parliament"
Millennium,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
Radio 1,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
Roots,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
