5FM  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,5FM  Monday
20:45  -  20:59,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:45  -  19:59,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:15  -  19:29,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10:45  -  10:59,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10:30  -  10:44,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
9:15  -  9:29,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8:45  -  8:59,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
