BBC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC  Monday
12:45  -  12:59,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
8:00  -  8:14,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:30  -  6:44,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:45  -  6:59,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
