Beats analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Beats
9:00  -  9:14,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,9:00  -  9:14,10:00  -  10:14,,,,,"
10:00  -  10:14,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,9:00  -  9:14,10:00  -  10:14,,,,,"
10:00  -  10:14,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,",,,,8:00  -  8:14,10:00  -  10:14,,,"
8:00  -  8:14,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,",,,,8:00  -  8:14,10:00  -  10:14,,,"
9:00  -  9:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",,9:00  -  9:14,10:00  -  10:14,,,,,"
10:00  -  10:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",,9:00  -  9:14,10:00  -  10:14,,,,,"
20:00  -  20:14,60650481,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Self employed,D,K 850-K 1674,Yes,25 – 34,",20:00  -  20:14,23:00  -  23:14,,,,,,"
23:00  -  23:14,60650481,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Self employed,D,K 850-K 1674,Yes,25 – 34,",20:00  -  20:14,23:00  -  23:14,,,,,,"
6:00  -  6:14,60650482,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,60650482,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,6:00  -  6:14,7:00  -  7:14"
17:00  -  17:14,60650485,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"17:00  -  17:14,23:00  -  23:14,,,,,,,"
23:00  -  23:14,60650485,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"17:00  -  17:14,23:00  -  23:14,,,,,,,"
20:00  -  20:14,60650486,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",20:00  -  20:14,22:00  -  22:14,,,,,,"
22:00  -  22:14,60650486,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",20:00  -  20:14,22:00  -  22:14,,,,,,"
18:00  -  18:14,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:00  -  18:14,,,,"
17:00  -  17:14,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:00  -  18:14,,,,"
