Breeze  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Breeze  Friday
18:45  -  18:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",17:00  -  17:14,18:45  -  18:59"
17:00  -  17:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",17:00  -  17:14,18:45  -  18:59"
23:00  -  23:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,",23:00  -  23:14"
12:00  -  12:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",7:00  -  7:14,9:30  -  9:44,12:00  -  12:14,15:45  -  15:59"
9:30  -  9:44,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",7:00  -  7:14,9:30  -  9:44,12:00  -  12:14,15:45  -  15:59"
7:00  -  7:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",7:00  -  7:14,9:30  -  9:44,12:00  -  12:14,15:45  -  15:59"
15:45  -  15:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",7:00  -  7:14,9:30  -  9:44,12:00  -  12:14,15:45  -  15:59"
6:00  -  6:14,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",6:00  -  6:14,19:30  -  19:44,22:00  -  22:14"
22:00  -  22:14,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",6:00  -  6:14,19:30  -  19:44,22:00  -  22:14"
19:30  -  19:44,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",6:00  -  6:14,19:30  -  19:44,22:00  -  22:14"
10:00  -  10:14,60623913,Eastern,Chipata,Urban,Male,3,One,C1,Completed high School,Roman Catholic,Student,Do not know,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,10:00  -  10:14,23:00  -  23:14"
6:00  -  6:14,60623913,Eastern,Chipata,Urban,Male,3,One,C1,Completed high School,Roman Catholic,Student,Do not know,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,10:00  -  10:14,23:00  -  23:14"
23:00  -  23:14,60623913,Eastern,Chipata,Urban,Male,3,One,C1,Completed high School,Roman Catholic,Student,Do not know,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,10:00  -  10:14,23:00  -  23:14"
22:45  -  22:59,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,",22:45  -  22:59"
8:00  -  8:14,60636972,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",5:00  -  5:14,8:00  -  8:14,14:00  -  14:14"
5:00  -  5:14,60636972,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",5:00  -  5:14,8:00  -  8:14,14:00  -  14:14"
14:00  -  14:14,60636972,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",5:00  -  5:14,8:00  -  8:14,14:00  -  14:14"
8:00  -  8:14,60639283,Eastern,Chipata,Urban,Female,1,One,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",7:00  -  7:14,8:00  -  8:14"
7:00  -  7:14,60639283,Eastern,Chipata,Urban,Female,1,One,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",7:00  -  7:14,8:00  -  8:14"
