Chikuni analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chikuni
7:00  -  7:14,60618446,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,",,,7:00  -  7:14,,,,"
19:45  -  19:59,60633197,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
19:30  -  19:44,60633197,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
19:15  -  19:29,60633197,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
19:00  -  19:14,60633197,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
9:15  -  9:29,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,"
9:00  -  9:14,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,"
9:45  -  9:59,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,"
9:30  -  9:44,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,"
12:00  -  12:14,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
10:15  -  10:29,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
11:30  -  11:44,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
11:15  -  11:29,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
10:00  -  10:14,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
11:45  -  11:59,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
11:00  -  11:14,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
10:45  -  10:59,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
10:30  -  10:44,60689994,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,",,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,"
