Chimwemwe  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Yesterday
9:45  -  9:59,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:00  -  10:14,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9:00  -  9:14,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9:15  -  9:29,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:30  -  8:44,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:45  -  8:59,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:00  -  8:14,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:15  -  8:29,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
