Chongwe  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chongwe  Friday
12:00  -  12:14,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:30  -  12:44,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
11:30  -  11:44,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:30  -  13:44,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
11:15  -  11:29,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:45  -  13:59,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
14:00  -  14:14,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:15  -  12:29,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:15  -  13:29,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
11:45  -  11:59,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:45  -  12:59,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:00  -  13:14,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
11:00  -  11:14,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
10:45  -  10:59,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
10:30  -  10:44,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
