Falls  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Falls  Friday
8:00  -  8:14,60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,",8:00  -  8:14"
6:00  -  6:14,60618448,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",6:00  -  6:14"
8:00  -  8:14,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",8:00  -  8:14"
8:00  -  8:14,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",8:00  -  8:14"
20:15  -  20:29,82092535,Southern,Livingstone,Urban,Male,0,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,No,35 – 44,",20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,82092535,Southern,Livingstone,Urban,Male,0,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,No,35 – 44,",20:00  -  20:14,20:15  -  20:29"
6:00  -  6:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,",6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,",6:00  -  6:14,7:00  -  7:14"
18:00  -  18:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:30  -  18:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:15  -  18:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
