Hot  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot  Sunday
8:00  -  8:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:00  -  7:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
13:15  -  13:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
8:00  -  8:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:00  -  7:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
