Hot  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot  Thursday
13:15  -  13:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
20:15  -  20:29,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:30  -  19:44,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:15  -  19:29,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
