Hot  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot  Tuesday
13:15  -  13:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
9:15  -  9:29,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:00  -  8:14,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:00  -  7:14,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
6:30  -  6:44,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
6:00  -  6:14,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
