Icengelo  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Sunday
20:30  -  20:44,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:30  -  20:44"
20:00  -  20:14,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:30  -  20:44"
13:30  -  13:44,60552083,Copperbelt,Kalulushi,Urban,Female,3,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,35 – 44,13:30  -  13:44
21:15  -  21:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
12:00  -  12:14,60555311,Copperbelt,Kalulushi,Urban,Male,3,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,12:00  -  12:14
6:45  -  6:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
