Icengelo  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Thursday
20:45  -  20:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,60578500,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60578500,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60578500,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60578500,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60578500,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
4:30  -  4:44,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"4:30  -  4:44,5:30  -  5:44"
5:30  -  5:44,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"4:30  -  4:44,5:30  -  5:44"
6:00  -  6:14,60583048,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,8:15  -  8:29"
8:15  -  8:29,60583048,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,8:15  -  8:29"
21:00  -  21:14,60583133,Copperbelt,Luanshya,Urban,Female,0,None,C2,Some high school,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20:30  -  20:44,60583133,Copperbelt,Luanshya,Urban,Female,0,None,C2,Some high school,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:30  -  21:44,60583133,Copperbelt,Luanshya,Urban,Female,0,None,C2,Some high school,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
