Iwave  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iwave  Saturday
15:00  -  15:14,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
16:00  -  16:14,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:45  -  15:59,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:30  -  15:44,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
16:15  -  16:29,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:15  -  15:29,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
17:00  -  17:14,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
