KNC  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,KNC  Tuesday
7:15  -  7:29,60540719,Central,Kapiri Mposhi,Urban,Male,1,One,C2,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:45  -  6:59,60540719,Central,Kapiri Mposhi,Urban,Male,1,One,C2,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:00  -  7:14,60540719,Central,Kapiri Mposhi,Urban,Male,1,One,C2,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:30  -  6:44,60540719,Central,Kapiri Mposhi,Urban,Male,1,One,C2,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:30  -  7:44,60540719,Central,Kapiri Mposhi,Urban,Male,1,One,C2,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
18:00  -  18:14,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
8:45  -  8:59,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:15  -  6:29,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:45  -  6:59,60688787,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
