Kabangabanga  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kabangabanga  Sunday
20:00  -  20:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"20:00  -  20:14,21:00  -  21:14"
21:00  -  21:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"20:00  -  20:14,21:00  -  21:14"
7:00  -  7:14,60564878,North-Western,Solwezi,Urban,Male,1,One,C1,University completed,Roman Catholic,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,7:00  -  7:14
7:00  -  7:14,60564880,North-Western,Solwezi,Urban,Female,1,None,C1,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+,"7:00  -  7:14,9:00  -  9:14"
9:00  -  9:14,60564880,North-Western,Solwezi,Urban,Female,1,None,C1,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+,"7:00  -  7:14,9:00  -  9:14"
7:00  -  7:14,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,9:00  -  9:14"
9:00  -  9:14,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,9:00  -  9:14"
7:00  -  7:14,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
6:00  -  6:14,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
20:00  -  20:14,82101518,North-Western,Solwezi,Urban,Male,0,None,D,Some high school,Other Christian,Self employed,D,Under K 849,No,25 – 34,"20:00  -  20:14,21:45  -  21:59"
21:45  -  21:59,82101518,North-Western,Solwezi,Urban,Male,0,None,D,Some high school,Other Christian,Self employed,D,Under K 849,No,25 – 34,"20:00  -  20:14,21:45  -  21:59"
19:15  -  19:29,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
