Kafue analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kafue
18:00  -  18:14,60562101,Lusaka,Kafue,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,,,,,,18:00  -  18:14,19:45  -  19:59"
19:45  -  19:59,60562101,Lusaka,Kafue,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,,,,,,18:00  -  18:14,19:45  -  19:59"
7:45  -  7:59,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",,,,,,,5:30  -  5:44,7:45  -  7:59"
5:30  -  5:44,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",,,,,,,5:30  -  5:44,7:45  -  7:59"
14:00  -  14:14,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,6:00  -  6:14,10:30  -  10:44,,6:00  -  6:14,14:00  -  14:14,,,9:15  -  9:29,12:30  -  12:44,"
12:30  -  12:44,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,6:00  -  6:14,10:30  -  10:44,,6:00  -  6:14,14:00  -  14:14,,,9:15  -  9:29,12:30  -  12:44,"
9:15  -  9:29,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,6:00  -  6:14,10:30  -  10:44,,6:00  -  6:14,14:00  -  14:14,,,9:15  -  9:29,12:30  -  12:44,"
10:30  -  10:44,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,6:00  -  6:14,10:30  -  10:44,,6:00  -  6:14,14:00  -  14:14,,,9:15  -  9:29,12:30  -  12:44,"
6:00  -  6:14,60606891,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",,6:00  -  6:14,10:30  -  10:44,,6:00  -  6:14,14:00  -  14:14,,,9:15  -  9:29,12:30  -  12:44,"
11:45  -  11:59,60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",5:00  -  5:14,11:45  -  11:59,,,,,,"
5:00  -  5:14,60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",5:00  -  5:14,11:45  -  11:59,,,,,,"
