Kokoliko  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Monday
8:45  -  8:59,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
11:15  -  11:29,60553131,Copperbelt,Chingola,Urban,Female,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,11:15  -  11:29
12:45  -  12:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
13:00  -  13:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
13:15  -  13:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
16:00  -  16:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:45  -  15:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:30  -  15:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:15  -  16:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
8:45  -  8:59,60608434,Copperbelt,Kitwe,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60608434,Copperbelt,Kitwe,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14"
10:45  -  10:59,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
10:00  -  10:14,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
10:30  -  10:44,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
11:15  -  11:29,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
11:00  -  11:14,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
10:15  -  10:29,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
