Kokoliko  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Wednesday
14:00  -  14:14,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,14:00  -  14:14
9:00  -  9:14,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,9:00  -  9:14,9:15  -  9:29"
9:15  -  9:29,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,9:00  -  9:14,9:15  -  9:29"
7:30  -  7:44,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,9:00  -  9:14,9:15  -  9:29"
7:15  -  7:29,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,9:00  -  9:14,9:15  -  9:29"
23:30  -  23:44,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
