Komboni analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni
21:00  -  21:14,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,",8:00  -  8:14,9:00  -  9:14,21:00  -  21:14,21:15  -  21:29,,,,,"
21:15  -  21:29,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,",8:00  -  8:14,9:00  -  9:14,21:00  -  21:14,21:15  -  21:29,,,,,"
9:00  -  9:14,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,",8:00  -  8:14,9:00  -  9:14,21:00  -  21:14,21:15  -  21:29,,,,,"
8:00  -  8:14,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,",8:00  -  8:14,9:00  -  9:14,21:00  -  21:14,21:15  -  21:29,,,,,"
19:45  -  19:59,60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,"
19:15  -  19:29,60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,"
19:00  -  19:14,60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,"
19:30  -  19:44,60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,"
11:00  -  11:14,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
9:30  -  9:44,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
