Kwithu FM  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Tuesday
9:00  -  9:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:30  -  8:44,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:45  -  8:59,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:00  -  8:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
9:15  -  9:29,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:15  -  8:29,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
7:00  -  7:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:15  -  6:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
