Kwithu FM  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Wednesday
13:00  -  13:14,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29"
13:15  -  13:29,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29"
9:00  -  9:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
7:45  -  7:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
7:15  -  7:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
7:30  -  7:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
8:00  -  8:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
