Kwithu FM  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Yesterday
8:15  -  8:29,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
12:30  -  12:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:15  -  15:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
13:45  -  13:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:45  -  14:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:15  -  16:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:45  -  16:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
