Maria  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maria  Monday
6:00  -  6:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,6:00  -  6:14
5:00  -  5:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,14:00  -  14:14"
14:00  -  14:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,14:00  -  14:14"
5:00  -  5:14,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,5:00  -  5:14
5:00  -  5:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,15:00  -  15:14"
6:00  -  6:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,15:00  -  15:14"
15:00  -  15:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,15:00  -  15:14"
5:00  -  5:14,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,5:00  -  5:14
15:15  -  15:29,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,6:00  -  6:14,15:15  -  15:29"
5:00  -  5:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,6:00  -  6:14,15:15  -  15:29"
6:00  -  6:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,6:00  -  6:14,15:15  -  15:29"
5:00  -  5:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"5:00  -  5:14,6:00  -  6:14"
6:00  -  6:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"5:00  -  5:14,6:00  -  6:14"
5:00  -  5:14,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"5:00  -  5:14,20:00  -  20:14"
20:00  -  20:14,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"5:00  -  5:14,20:00  -  20:14"
5:00  -  5:14,60701174,Eastern,Chipata,Urban,Female,1,None,D,Some primary school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,35 – 44,"5:00  -  5:14,20:30  -  20:44"
