Maria analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maria
6:00  -  6:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",6:00  -  6:14,12:30  -  12:44,,,,,,"
12:30  -  12:44,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",6:00  -  6:14,12:30  -  12:44,,,,,,"
6:00  -  6:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,",6:00  -  6:14,9:30  -  9:44,,,,,,7:00  -  7:14"
9:30  -  9:44,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,",6:00  -  6:14,9:30  -  9:44,,,,,,7:00  -  7:14"
7:00  -  7:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,",6:00  -  6:14,9:30  -  9:44,,,,,,7:00  -  7:14"
6:00  -  6:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,",5:00  -  5:14,7:00  -  7:14,,,,,,6:00  -  6:14"
7:00  -  7:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,",5:00  -  5:14,7:00  -  7:14,,,,,,6:00  -  6:14"
5:00  -  5:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,",5:00  -  5:14,7:00  -  7:14,,,,,,6:00  -  6:14"
13:00  -  13:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",6:30  -  6:44,10:45  -  10:59,13:00  -  13:14,13:45  -  13:59,,,,,,"
10:45  -  10:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",6:30  -  6:44,10:45  -  10:59,13:00  -  13:14,13:45  -  13:59,,,,,,"
13:45  -  13:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",6:30  -  6:44,10:45  -  10:59,13:00  -  13:14,13:45  -  13:59,,,,,,"
6:30  -  6:44,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",6:30  -  6:44,10:45  -  10:59,13:00  -  13:14,13:45  -  13:59,,,,,,"
18:00  -  18:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
22:00  -  22:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
17:00  -  17:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
13:00  -  13:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
14:00  -  14:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
8:00  -  8:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
6:00  -  6:14,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:00  -  6:14,17:00  -  17:14,22:00  -  22:14,6:00  -  6:14,6:00  -  6:14,13:00  -  13:14,14:00  -  14:14,6:00  -  6:14,8:00  -  8:14,13:00  -  13:14,,6:00  -  6:14,8:00  -  8:14,18:00  -  18:14"
6:00  -  6:14,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"6:30  -  6:44,9:00  -  9:14,6:00  -  6:14,16:00  -  16:14,,,,,,"
16:00  -  16:14,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"6:30  -  6:44,9:00  -  9:14,6:00  -  6:14,16:00  -  16:14,,,,,,"
9:00  -  9:14,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"6:30  -  6:44,9:00  -  9:14,6:00  -  6:14,16:00  -  16:14,,,,,,"
6:30  -  6:44,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"6:30  -  6:44,9:00  -  9:14,6:00  -  6:14,16:00  -  16:14,,,,,,"
6:00  -  6:14,60598577,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",6:00  -  6:14,18:00  -  18:14,,,,,,"
18:00  -  18:14,60598577,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",6:00  -  6:14,18:00  -  18:14,,,,,,"
20:15  -  20:29,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,13:00  -  13:14,5:00  -  5:14,14:00  -  14:14,5:00  -  5:14,5:00  -  5:14,20:15  -  20:29,5:00  -  5:14,,5:00  -  5:14,15:00  -  15:14,5:00  -  5:14"
13:00  -  13:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,13:00  -  13:14,5:00  -  5:14,14:00  -  14:14,5:00  -  5:14,5:00  -  5:14,20:15  -  20:29,5:00  -  5:14,,5:00  -  5:14,15:00  -  15:14,5:00  -  5:14"
5:00  -  5:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,13:00  -  13:14,5:00  -  5:14,14:00  -  14:14,5:00  -  5:14,5:00  -  5:14,20:15  -  20:29,5:00  -  5:14,,5:00  -  5:14,15:00  -  15:14,5:00  -  5:14"
14:00  -  14:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,13:00  -  13:14,5:00  -  5:14,14:00  -  14:14,5:00  -  5:14,5:00  -  5:14,20:15  -  20:29,5:00  -  5:14,,5:00  -  5:14,15:00  -  15:14,5:00  -  5:14"
15:00  -  15:14,60615792,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,13:00  -  13:14,5:00  -  5:14,14:00  -  14:14,5:00  -  5:14,5:00  -  5:14,20:15  -  20:29,5:00  -  5:14,,5:00  -  5:14,15:00  -  15:14,5:00  -  5:14"
7:00  -  7:14,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,7:00  -  7:14,22:30  -  22:44,,,,,,"
22:30  -  22:44,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,7:00  -  7:14,22:30  -  22:44,,,,,,"
5:00  -  5:14,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,7:00  -  7:14,22:30  -  22:44,,,,,,"
5:00  -  5:14,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",5:00  -  5:14,,,,,,"
18:00  -  18:14,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
7:15  -  7:29,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
