Mazabuka  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Monday
7:00  -  7:14,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
10:00  -  10:14,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
18:00  -  18:14,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
10:15  -  10:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
9:30  -  9:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
10:30  -  10:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
11:15  -  11:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
10:00  -  10:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
11:00  -  11:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
9:45  -  9:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,11:15  -  11:29"
