Mazabuka  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Thursday
20:15  -  20:29,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:45  -  19:59,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
12:45  -  12:59,60553921,Southern,Mazabuka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:15  -  12:29,60553921,Southern,Mazabuka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60553921,Southern,Mazabuka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60553921,Southern,Mazabuka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:00  -  12:14,60553921,Southern,Mazabuka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
20:45  -  20:59,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:00  -  20:14,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
