Mazabuka  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Tuesday
6:30  -  6:44,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,60553922,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60553922,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60553922,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
10:00  -  10:14,60582411,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Anglican/Protestant,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60582411,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Anglican/Protestant,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60582411,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Anglican/Protestant,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60582411,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Anglican/Protestant,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
7:45  -  7:59,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"5:45  -  5:59,7:00  -  7:14,7:45  -  7:59"
5:45  -  5:59,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"5:45  -  5:59,7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"5:45  -  5:59,7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
