Mazabuka  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Yesterday
12:45  -  12:59,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:30  -  13:44,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
14:00  -  14:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:45  -  13:59,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:15  -  12:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:00  -  13:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:30  -  12:44,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
12:00  -  12:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:15  -  13:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
8:00  -  8:14,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:15  -  8:29,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:30  -  8:44,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
10:15  -  10:29,60534190,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:30  -  10:44,60534190,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
