Millennium  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium  Friday
14:30  -  14:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:00  -  14:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:15  -  14:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:45  -  14:59,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
11:15  -  11:29,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
12:45  -  12:59,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
10:45  -  10:59,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
10:30  -  10:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15:30  -  15:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
12:30  -  12:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
11:30  -  11:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
13:45  -  13:59,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
10:00  -  10:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
14:30  -  14:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
13:00  -  13:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
