Millennium  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium  Thursday
9:15  -  9:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:45  -  9:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:15  -  10:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:30  -  11:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:15  -  11:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
8:45  -  8:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:00  -  10:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:30  -  9:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:45  -  11:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:00  -  9:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:00  -  11:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:45  -  10:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:30  -  10:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
17:00  -  17:14,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
