Millennium  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium  Yesterday
17:00  -  17:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
17:15  -  17:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:00  -  16:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:30  -  16:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:15  -  16:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:45  -  16:59,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
10:15  -  10:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:30  -  11:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:15  -  11:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:00  -  10:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
