Mkushi  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mkushi  Friday
12:30  -  12:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
9:00  -  9:14,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",8:45  -  8:59,9:00  -  9:14"
15:15  -  15:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
15:00  -  15:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
