Money FM  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM  Tuesday
18:15  -  18:29,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
9:00  -  9:14,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:30  -  9:44,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:15  -  9:29,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:30  -  6:44,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:00  -  6:14,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
19:15  -  19:29,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
19:30  -  19:44,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
19:00  -  19:14,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
20:30  -  20:44,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
16:15  -  16:29,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:00  -  16:14,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
14:30  -  14:44,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:00  -  10:14,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
