Money FM  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM  Wednesday
19:30  -  19:44,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
10:00  -  10:14,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
6:15  -  6:29,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
6:30  -  6:44,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
