Money FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM
19:30  -  19:44,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,"
20:00  -  20:14,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,"
19:45  -  19:59,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,"
19:00  -  19:14,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,"
19:15  -  19:29,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,"
6:30  -  6:44,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
10:00  -  10:14,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
10:15  -  10:29,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
10:30  -  10:44,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
6:15  -  6:29,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
6:00  -  6:14,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,"
15:15  -  15:29,60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15:30  -  15:44,60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15:00  -  15:14,60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
21:00  -  21:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:45  -  20:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:30  -  20:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
12:30  -  12:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,",,,,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,12:30  -  12:44,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
8:45  -  8:59,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,,,,8:45  -  8:59,9:00  -  9:14,"
18:30  -  18:44,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,,,,8:45  -  8:59,9:00  -  9:14,"
18:15  -  18:29,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,,,,8:45  -  8:59,9:00  -  9:14,"
18:00  -  18:14,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,,,,8:45  -  8:59,9:00  -  9:14,"
9:00  -  9:14,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,,,,8:45  -  8:59,9:00  -  9:14,"
9:30  -  9:44,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,"
9:15  -  9:29,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,"
