New Generation  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,New Generation  Friday
8:00  -  8:14,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",6:00  -  6:14,8:00  -  8:14"
6:00  -  6:14,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",6:00  -  6:14,8:00  -  8:14"
9:00  -  9:14,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",8:00  -  8:14,9:00  -  9:14"
8:00  -  8:14,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",8:00  -  8:14,9:00  -  9:14"
8:00  -  8:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",6:00  -  6:14,8:00  -  8:14"
6:00  -  6:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",6:00  -  6:14,8:00  -  8:14"
9:00  -  9:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",9:00  -  9:14,11:00  -  11:14"
11:00  -  11:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,",9:00  -  9:14,11:00  -  11:14"
7:00  -  7:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",7:00  -  7:14,8:00  -  8:14"
8:00  -  8:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",7:00  -  7:14,8:00  -  8:14"
6:00  -  6:14,60613044,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,",6:00  -  6:14"
18:00  -  18:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",15:00  -  15:14,18:00  -  18:14"
15:00  -  15:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",15:00  -  15:14,18:00  -  18:14"
