New Generation analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,New Generation
17:00  -  17:14,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,,,17:00  -  17:14,17:45  -  17:59,,,"
17:45  -  17:59,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,,,17:00  -  17:14,17:45  -  17:59,,,"
9:45  -  9:59,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,,,,9:00  -  9:14,9:45  -  9:59"
9:00  -  9:14,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,,,,9:00  -  9:14,9:45  -  9:59"
6:00  -  6:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14,20:00  -  20:14,23:00  -  23:14,,,,,,,"
20:00  -  20:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14,20:00  -  20:14,23:00  -  23:14,,,,,,,"
9:00  -  9:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14,20:00  -  20:14,23:00  -  23:14,,,,,,,"
23:00  -  23:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14,20:00  -  20:14,23:00  -  23:14,,,,,,,"
18:00  -  18:14,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,18:00  -  18:14,20:00  -  20:14,,,"
20:00  -  20:14,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,18:00  -  18:14,20:00  -  20:14,,,"
17:00  -  17:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"17:00  -  17:14,18:30  -  18:44,,,,,,,"
18:30  -  18:44,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"17:00  -  17:14,18:30  -  18:44,,,,,,,"
12:00  -  12:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"12:00  -  12:14,13:00  -  13:14,,,,,,,"
13:00  -  13:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"12:00  -  12:14,13:00  -  13:14,,,,,,,"
12:00  -  12:14,60540123,North-Western,Solwezi,Rural,Male,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,,,,,,,"
