Nmano analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Nmano
9:15  -  9:29,134725406,Northern,Mungwi,Urban,Female,1,,D,No formal education,Other,Not employed,D,Under K 849,,15 – 18,"9:15  -  9:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
15:00  -  15:14,134764046,Northern,Mungwi,Rural,Male,1,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,"15:00  -  15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:15  -  10:29,134951942,Northern,Kasama,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:45  -  9:59,134951942,Northern,Kasama,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,134951942,Northern,Kasama,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:30  -  19:44,134812025,Northern,Mungwi,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,"19:30  -  19:44,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,134812025,Northern,Mungwi,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,"19:30  -  19:44,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:45  -  14:59,134846716,Northern,Kasama,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,11:45  -  11:59,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,134846716,Northern,Kasama,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,11:45  -  11:59,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:45  -  11:59,134846716,Northern,Kasama,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"8:00  -  8:14,11:45  -  11:59,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,134722916,Northern,Mungwi,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,"15:00  -  15:14,16:00  -  16:14,17:00  -  17:14,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
15:00  -  15:14,134722916,Northern,Mungwi,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,"15:00  -  15:14,16:00  -  16:14,17:00  -  17:14,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:00  -  16:14,134722916,Northern,Mungwi,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,"15:00  -  15:14,16:00  -  16:14,17:00  -  17:14,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:00  -  17:14,134722916,Northern,Mungwi,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,45+,"15:00  -  15:14,16:00  -  16:14,17:00  -  17:14,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:00  -  18:14,134914650,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,134914650,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:30  -  17:44,134914650,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:15  -  17:29,134914650,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:00  -  17:14,134914650,Northern,Kasama,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:15  -  19:29,134988361,Northern,Kasama,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
