One Love analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,One Love
5:15  -  5:29,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,"
5:30  -  5:44,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,"
5:00  -  5:14,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,"
4:45  -  4:59,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,"
4:30  -  4:44,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,",,,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,"
21:00  -  21:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,17:00  -  17:14,21:00  -  21:14,20:00  -  20:14,22:45  -  22:59"
17:00  -  17:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,17:00  -  17:14,21:00  -  21:14,20:00  -  20:14,22:45  -  22:59"
20:00  -  20:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,17:00  -  17:14,21:00  -  21:14,20:00  -  20:14,22:45  -  22:59"
22:45  -  22:59,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,17:00  -  17:14,21:00  -  21:14,20:00  -  20:14,22:45  -  22:59"
8:45  -  8:59,60689990,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:15  -  8:29,60689990,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:00  -  8:14,60689990,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
9:00  -  9:14,60689990,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:30  -  8:44,60689990,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
