PASME  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Friday
6:00  -  6:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",6:00  -  6:14,7:45  -  7:59,14:00  -  14:14,16:00  -  16:14"
16:00  -  16:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",6:00  -  6:14,7:45  -  7:59,14:00  -  14:14,16:00  -  16:14"
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",6:00  -  6:14,7:45  -  7:59,14:00  -  14:14,16:00  -  16:14"
14:00  -  14:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",6:00  -  6:14,7:45  -  7:59,14:00  -  14:14,16:00  -  16:14"
21:45  -  21:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",7:00  -  7:14,8:45  -  8:59,20:00  -  20:14,21:45  -  21:59"
20:00  -  20:14,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",7:00  -  7:14,8:45  -  8:59,20:00  -  20:14,21:45  -  21:59"
7:00  -  7:14,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",7:00  -  7:14,8:45  -  8:59,20:00  -  20:14,21:45  -  21:59"
8:45  -  8:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",7:00  -  7:14,8:45  -  8:59,20:00  -  20:14,21:45  -  21:59"
7:45  -  7:59,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",7:00  -  7:14,7:45  -  7:59"
6:00  -  6:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",6:00  -  6:14,12:45  -  12:59"
12:45  -  12:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",6:00  -  6:14,12:45  -  12:59"
13:45  -  13:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,",7:00  -  7:14,10:45  -  10:59,12:00  -  12:14,13:45  -  13:59"
12:00  -  12:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,",7:00  -  7:14,10:45  -  10:59,12:00  -  12:14,13:45  -  13:59"
10:45  -  10:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,",7:00  -  7:14,10:45  -  10:59,12:00  -  12:14,13:45  -  13:59"
