PASME  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Monday
20:45  -  20:59,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"19:00  -  19:14,20:45  -  20:59"
19:00  -  19:14,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"19:00  -  19:14,20:45  -  20:59"
18:00  -  18:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59"
7:45  -  7:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59"
6:00  -  6:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59"
19:45  -  19:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59"
10:00  -  10:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"10:00  -  10:14,13:00  -  13:14"
13:00  -  13:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"10:00  -  10:14,13:00  -  13:14"
18:00  -  18:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,19:45  -  19:59"
19:45  -  19:59,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,19:45  -  19:59"
