PASME  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Saturday
19:00  -  19:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"17:00  -  17:14,19:00  -  19:14"
17:00  -  17:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"17:00  -  17:14,19:00  -  19:14"
10:00  -  10:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:45  -  10:59"
10:45  -  10:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:45  -  10:59"
10:15  -  10:29,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:45  -  10:59"
10:00  -  10:14,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
10:45  -  10:59,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:00  -  14:14,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:15  -  14:29,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
10:30  -  10:44,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:30  -  14:44,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
7:00  -  7:14,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:45  -  14:59,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
10:15  -  10:29,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
