Petauke Explorers  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Monday
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59"
15:15  -  15:29,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"14:00  -  14:14,15:15  -  15:29"
14:00  -  14:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"14:00  -  14:14,15:15  -  15:29"
7:45  -  7:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:45  -  7:59"
19:00  -  19:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,20:45  -  20:59"
20:45  -  20:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,20:45  -  20:59"
7:45  -  7:59,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59"
