Petauke Explorers  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Thursday
6:00  -  6:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"6:00  -  6:14,7:45  -  7:59"
7:45  -  7:59,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"6:00  -  6:14,7:45  -  7:59"
21:45  -  21:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"20:00  -  20:14,21:45  -  21:59"
20:00  -  20:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"20:00  -  20:14,21:45  -  21:59"
21:45  -  21:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"20:00  -  20:14,21:45  -  21:59"
20:00  -  20:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"20:00  -  20:14,21:45  -  21:59"
23:45  -  23:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"23:00  -  23:14,23:45  -  23:59"
23:00  -  23:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"23:00  -  23:14,23:45  -  23:59"
10:00  -  10:14,60651318,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",No,19 – 24,"10:00  -  10:14,11:45  -  11:59"
11:45  -  11:59,60651318,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",No,19 – 24,"10:00  -  10:14,11:45  -  11:59"
10:00  -  10:14,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
23:30  -  23:44,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
9:45  -  9:59,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60832108,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"9:45  -  9:59,10:00  -  10:14"
19:15  -  19:29,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
