Petauke Explorers  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Wednesday
19:00  -  19:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59"
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59"
7:00  -  7:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59"
22:45  -  22:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59"
20:30  -  20:44,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"19:30  -  19:44,20:30  -  20:44"
19:30  -  19:44,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"19:30  -  19:44,20:30  -  20:44"
18:00  -  18:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"18:00  -  18:14,19:45  -  19:59"
19:45  -  19:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"18:00  -  18:14,19:45  -  19:59"
7:45  -  7:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59"
7:00  -  7:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59"
20:30  -  20:44,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:00  -  10:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
6:15  -  6:29,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
6:30  -  6:44,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
8:00  -  8:14,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
6:00  -  6:14,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:45  -  7:59,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
20:30  -  20:44,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:00  -  10:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:45  -  10:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:30  -  8:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
