Petauke Explorers  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Yesterday
19:15  -  19:29,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59"
6:00  -  6:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59"
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59"
22:45  -  22:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59"
7:15  -  7:29,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59"
7:00  -  7:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59"
19:45  -  19:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59"
20:45  -  20:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59"
22:15  -  22:29,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29"
19:00  -  19:14,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29"
