Phoenix  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Phoenix  Wednesday
9:30  -  9:44,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:15  -  9:29,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:00  -  9:14,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:00  -  6:14,60514734,Central,Kapiri Mposhi,Urban,Female,1,One,C1,Some high school,Other Christian,Housewife,C2,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,60514734,Central,Kapiri Mposhi,Urban,Female,1,One,C1,Some high school,Other Christian,Housewife,C2,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:30  -  6:44,60514734,Central,Kapiri Mposhi,Urban,Female,1,One,C1,Some high school,Other Christian,Housewife,C2,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19:00  -  19:14,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
6:45  -  6:59,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
7:00  -  7:14,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
6:00  -  6:14,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
6:30  -  6:44,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
