QFM  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,QFM  Saturday
20:30  -  20:44,60573808,Central,Kabwe,Urban,Male,1,None,C1,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,35 – 44,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14"
19:45  -  19:59,60573808,Central,Kabwe,Urban,Male,1,None,C1,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,35 – 44,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14"
20:00  -  20:14,60573808,Central,Kabwe,Urban,Male,1,None,C1,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,35 – 44,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14"
20:15  -  20:29,60573808,Central,Kabwe,Urban,Male,1,None,C1,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,35 – 44,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14"
21:00  -  21:14,60573808,Central,Kabwe,Urban,Male,1,None,C1,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,35 – 44,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14"
23:30  -  23:44,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:30  -  21:44,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:45  -  21:59,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:15  -  22:29,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:30  -  22:44,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:00  -  22:14,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:15  -  21:29,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
23:15  -  23:29,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
23:00  -  23:14,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
0:00  -  0:14,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
23:45  -  23:59,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
