Radio 1  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 1  Saturday
5:45  -  5:59,60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44,"4:45  -  4:59,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:30  -  5:44,60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44,"4:45  -  4:59,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:15  -  5:29,60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44,"4:45  -  4:59,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
4:45  -  4:59,60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44,"4:45  -  4:59,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
8:30  -  8:44,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"8:30  -  8:44,8:45  -  8:59"
5:45  -  5:59,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
