Radio Christian Voice  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Christian Voice  Friday
7:15  -  7:29,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,",4:15  -  4:29,7:15  -  7:29"
4:15  -  4:29,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,",4:15  -  4:29,7:15  -  7:29"
14:30  -  14:44,60515243,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60515243,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60515243,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
20:15  -  20:29,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:45  -  19:59,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:30  -  19:44,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,60543025,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17:30  -  17:44,60552219,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",12:00  -  12:14,17:30  -  17:44"
12:00  -  12:14,60552219,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",12:00  -  12:14,17:30  -  17:44"
9:15  -  9:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
