Radio Mano  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Friday
9:00  -  9:14,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
11:15  -  11:29,60562229,Northern,Kasama,Urban,Male,1,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,",11:15  -  11:29,11:30  -  11:44"
11:30  -  11:44,60562229,Northern,Kasama,Urban,Male,1,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,",11:15  -  11:29,11:30  -  11:44"
12:30  -  12:44,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",12:15  -  12:29,12:30  -  12:44"
12:15  -  12:29,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",12:15  -  12:29,12:30  -  12:44"
9:00  -  9:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:30  -  9:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
